class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type
e,x,s,w,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p
e,x,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p
e,f,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p
e,x,s,n,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e
e,f,y,y,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p
p,x,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p
e,s,f,n,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p
e,b,y,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p
e,b,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p
e,b,y,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p
e,f,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p
e,x,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p
e,b,y,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p
e,b,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p
e,f,y,n,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p
p,x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p
e,x,s,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p
e,x,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p
e,f,f,w,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p
e,f,f,g,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p
e,f,s,g,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e
e,x,y,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p
e,b,s,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p
p,f,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p
e,x,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p
p,f,s,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p
e,x,y,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p
e,x,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p
e,f,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p
e,x,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p
e,f,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p
e,x,y,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p
e,f,f,n,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e
e,x,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p
p,x,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p
e,b,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p
e,s,f,n,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p
e,x,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p
e,b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p
e,f,y,n,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p
e,b,y,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p
e,b,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p
e,x,y,n,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p
e,f,f,g,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p
e,x,f,g,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p
e,b,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p
e,x,s,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p
e,b,y,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p
e,x,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p
e,b,s,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p
e,x,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p
e,x,f,g,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e
e,f,s,y,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p
p,x,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p
e,x,f,w,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e
e,b,y,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p
e,x,s,y,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p
e,b,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p
e,x,y,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p
e,x,f,n,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p
e,b,y,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p
e,x,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p
e,f,y,n,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p
e,x,f,w,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e
e,x,s,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p
p,x,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p
e,x,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p
e,x,f,w,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p
e,b,s,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p
p,x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p
e,x,s,y,t,a,f,w,n,w,t,b,s,s,w,w,p,w,o,p
e,x,y,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p
e,x,f,w,t,l,f,w,n,n,t,b,s,s,w,w,p,w,o,p
e,f,s,w,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p
e,x,y,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p
e,f,f,y,t,a,f,w,n,w,t,b,s,s,w,w,p,w,o,p
e,x,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p
e,b,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p
e,x,y,n,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p
e,b,y,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p
e,x,s,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p
p,x,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p
e,b,s,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p
e,b,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p
p,x,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p
e,b,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p
e,b,y,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p
e,b,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p
e,x,y,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p
e,x,f,n,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p
e,x,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p
e,b,s,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p
e,x,f,g,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p
e,x,y,n,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p
e,x,s,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p
e,b,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p
e,x,s,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p
e,f,f,y,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p
e,b,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p
e,x,f,n,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e
e,x,f,y,t,l,f,w,n,n,t,b,s,s,w,w,p,w,o,p
e,x,s,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p
e,f,s,g,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e
e,x,f,n,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p
e,f,s,g,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e
e,f,y,n,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p
e,b,y,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p
e,b,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p
e,x,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p
e,s,f,g,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p
e,f,y,n,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p
p,x,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p
e,x,y,y,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p
e,x,y,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p
e,x,f,n,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e
e,x,f,n,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e
e,f,s,n,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e
e,f,y,n,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p
e,x,s,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p
e,f,f,n,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p
e,x,y,y,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p
e,x,f,y,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p
e,b,y,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p
e,x,f,g,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e
e,x,y,y,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p
e,f,y,n,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p
e,x,s,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p
e,s,f,n,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p
e,x,s,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p
e,b,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p
e,s,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p
e,b,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p
e,x,y,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p
e,b,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p
p,x,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p
e,x,s,w,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e
e,x,y,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p
e,b,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p
e,x,f,n,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p
p,x,s,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p
e,x,y,n,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p
e,x,s,n,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e
e,b,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p
e,x,s,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p
e,b,s,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p
e,x,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p
e,b,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p
e,x,f,g,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p
e,f,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p
e,x,f,g,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e
e,x,s,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p
e,x,y,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p
e,x,f,g,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p
p,x,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p
e,b,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p
e,b,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p
p,x,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p
e,b,s,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p
e,x,s,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p
e,x,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p
e,b,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p
e,x,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p
e,x,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p
e,x,y,n,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p
e,x,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p
e,x,s,n,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e
e,x,y,n,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p
e,x,y,y,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p
p,x,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p
e,b,y,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p
e,x,f,w,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p
p,x,s,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p
e,x,y,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p
e,f,f,g,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e
e,x,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p
e,b,y,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p
p,x,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p
e,f,y,n,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p
e,x,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p
e,x,s,w,t,a,f,w,n,n,t,b,s,s,w,w,p,w,o,p
e,f,y,n,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p
e,b,s,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p
e,x,s,w,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e
e,f,f,g,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p
e,x,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p
e,x,y,y,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p
e,b,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p
e,b,s,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p
e,f,s,w,t,l,f,w,n,n,t,b,s,s,w,w,p,w,o,p
e,b,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p
e,x,f,y,t,a,f,w,n,n,t,b,s,s,w,w,p,w,o,p
e,x,y,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p
e,b,y,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p
e,x,y,n,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p
e,x,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p
e,x,y,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p
e,x,y,y,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p
e,x,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p
e,x,s,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p
e,x,y,n,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p
e,x,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p
e,f,y,n,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p
e,b,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p
e,x,f,n,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p
e,x,y,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p
e,b,s,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p
e,b,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p
e,x,f,y,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p
e,b,s,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p
e,x,s,g,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e
e,b,s,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p
e,b,s,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p
e,f,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p
e,f,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p
e,x,s,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p
e,f,y,y,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p
e,b,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p
e,x,y,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p
e,x,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p
e,f,y,n,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p
e,x,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p
e,x,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p
e,b,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p
e,f,y,y,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p
e,x,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p
e,x,y,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p
e,f,f,w,t,a,f,w,n,n,t,b,s,s,w,w,p,w,o,p
e,s,f,g,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p
e,f,s,y,t,l,f,w,n,n,t,b,s,s,w,w,p,w,o,p
e,f,f,g,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p
e,x,f,n,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p
e,b,y,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p
e,x,s,w,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p
e,b,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p
e,b,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p
e,b,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p
e,f,s,w,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p
e,f,f,g,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p
e,f,s,w,t,a,f,w,n,w,t,b,s,s,w,w,p,w,o,p
e,f,y,y,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p
e,x,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p
e,s,f,n,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p
e,x,y,n,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p
e,x,y,n,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p
e,f,f,y,t,a,f,w,n,n,t,b,s,s,w,w,p,w,o,p
p,f,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p
p,x,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p
e,f,y,n,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p
e,x,y,y,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p
e,b,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p
e,f,f,w,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e
e,f,y,n,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p
e,x,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p
